N,depth,density,distance
1,12,0.0,2208
2,12,0.0,2265
3,12,0.01,515
4,12,0.01,1999
5,12,0.02,2587
6,12,0.02,1218
7,12,0.03,786
8,12,0.03,2022
9,12,0.04,1803
10,12,0.04,1738
11,12,0.05,1199
12,12,0.05,282
13,12,0.06,1337
14,12,0.06,1864
15,12,0.07,1524
16,12,0.07,2133
17,12,0.08,1161
18,12,0.08,686
19,12,0.09,1734
20,12,0.09,1059
21,12,0.1,1019
22,12,0.1,1753
23,12,0.11,2004
24,12,0.11,1065
25,12,0.12,2546
26,12,0.12,566
27,12,0.13,906
28,12,0.13,2204
29,12,0.14,2294
30,12,0.14,727
31,12,0.15,2344
32,12,0.15,2880
33,12,0.16,1485
34,12,0.16,1174
35,12,0.17,1503
36,12,0.17,1350
37,12,0.18,2050
38,12,0.18,1792
39,12,0.19,1187
40,12,0.19,1284
41,12,0.2,630
42,12,0.2,1914
43,12,0.21,1520
44,12,0.21,1428
45,12,0.22,1193
46,12,0.22,560
47,12,0.23,1479
48,12,0.23,258
49,12,0.24,1239
50,12,0.24,1659
51,12,0.25,680
52,12,0.25,1224
53,12,0.26,1438
54,12,0.26,1668
55,12,0.27,1953
56,12,0.27,1454
57,12,0.28,622
58,12,0.28,2910
59,12,0.29,2373
60,12,0.29,567
61,12,0.3,1478
62,12,0.3,1647
63,12,0.31,1185
64,12,0.31,909
65,12,0.32,1018
66,12,0.32,1014
67,12,0.33,1890
68,12,0.33,1964
69,12,0.34,537
70,12,0.34,1325
71,12,0.35000000000000003,809
72,12,0.35000000000000003,85
73,12,0.36,1390
74,12,0.36,592
75,12,0.37,1039
76,12,0.37,1113
77,12,0.38,1070
78,12,0.38,1144
79,12,0.39,502
80,12,0.39,1801
81,12,0.4,808
82,12,0.4,1162
83,12,0.41000000000000003,1811
84,12,0.41000000000000003,657
85,12,0.42,1488
86,12,0.42,721
87,12,0.43,667
88,12,0.43,929
89,12,0.44,968
90,12,0.44,676
91,12,0.45,513
92,12,0.45,1773
93,12,0.46,1218
94,12,0.46,273
95,12,0.47000000000000003,962
96,12,0.47000000000000003,1947
97,12,0.48,457
98,12,0.48,2946
99,12,0.49,1095
100,12,0.49,1872
